,Title,Price,Price Per Sqft
0,3 BHK Apartment for Sale in Indirapuram Ghaziabad,₹95 Lac ,₹4872 per sqft 
1,4 BHK Apartment for Sale in Gwal Pahari Gurgaon,₹5.25 Cr ,₹9052 per sqft 
2,3 BHK Builder Floor for Sale in Freedom Fighters Enclave New Delhi,₹65 Lac ,₹4333 per sqft 
3,"3 BHK Builder Floor for Sale in South City 2, Sector 49 Gurgaon",₹2.20 Cr ,₹9402 per sqft 
4,"3 BHK Apartment for Sale in Sector 37C, Delhi Gurgaon Expressway Gurgaon",₹70 Lac ,₹4554 per sqft 
5,3 BHK Builder Floor for Sale in Sector 4 Gurgaon,₹75 Lac ,₹5000 per sqft 
6,"4 BHK Apartment for Sale in Sector 37C, Delhi Gurgaon Expressway Gurgaon",₹78 Lac ,₹4244 per sqft 
7,"2 BHK Apartment for Sale in Sector 37C, Delhi Gurgaon Expressway Gurgaon",₹68 Lac ,₹4309 per sqft 
8,1 BHK Builder Floor for Sale in Khirki Extension Malviya Nagar New Delhi,₹22 Lac ,₹5882 per sqft 
9,3 BHK Apartment for Sale in Noida Extension Noida,₹73.4 Lac ,₹5335 per sqft 
10,2 BHK Apartment for Sale in Sector 102 Gurgaon,₹1.08 Cr ,₹7895 per sqft 
11,3 BHK Builder Floor for Sale in Vasundhara Ghaziabad,₹1.12 Cr ,₹6400 per sqft 
12,2 BHK Apartment for Sale in pristine green Noida,Call for Price,₹14375 per sqft 
13,3 BHK Apartment for Sale in Vasant Kunj Sector A New Delhi,₹2.30 Cr ,₹4000 per sqft 
14,2 BHK Apartment for Sale in Wave City Ghaziabad,₹45 Lac ,₹9286 per sqft 
15,2 BHK Apartment for Sale in Kalkaji New Delhi,₹65 Lac ,₹5806 per sqft 
16,3 BHK Builder Floor for Sale in Sector 89 Faridabad,₹72 Lac ,₹14035 per sqft 
17,3 BHK Apartment for Sale in Sector 63 Gurgaon,₹4 Cr ,₹10941 per sqft 
18,"3 BHK Builder Floor for Sale in Sector 57 Block G, Golf Course Extension Road Gurgaon",₹1.75 Cr ,₹12593 per sqft 
19,"3 BHK Apartment for Sale in Sector 76, Delhi Gurgaon Expressway Gurgaon",₹1.50 Cr ,₹13663 per sqft 
20,"3 BHK Builder Floor for Sale in Kailash Colony, Greater Kailash New Delhi",₹1.70 Cr ,₹14257 per sqft 
21,"3 BHK Builder Floor for Sale in Malibu Town, Sector 47 Gurgaon",₹1.85 Cr ,₹23831 per sqft 
22,2 BHK Apartment for Sale in Sector 62 Gurgaon,₹2.15 Cr ,₹12219 per sqft 
23,4 BHK Builder Floor for Sale in Model Town Phase 2 New Delhi,₹5.25 Cr ,₹6667 per sqft 
24,3 BHK Apartment for Sale in Sector 36A Gurgaon,₹3.10 Cr ,₹3876 per sqft 
25,3 BHK Builder Floor for Sale in Sector 95 Gurgaon,₹90 Lac ,₹4526 per sqft 
26,3 BHK Apartment for Sale in Greater Noida West Greater Noida,₹50 Lac ,₹8796 per sqft 
27,2 BHK Apartment for Sale in Sector 75 Noida,₹43 Lac ,₹11111 per sqft 
28,4 BHK Apartment for Sale in Sector 65 Gurgaon,Call for Price,₹5517 per sqft 
29,3 BHK Builder Floor for Sale in Sector 40 Gurgaon,₹1.90 Cr ,₹5556 per sqft 
30,2 BHK Builder Floor for Sale in Lajpat Nagar New Delhi,₹1 Cr ,₹5000 per sqft 
31,3 BHK Apartment for Sale in C Block Noida,₹80 Lac ,₹4658 per sqft 
32,"2 BHK Builder Floor for Sale in Om Vihar, Nawada New Delhi",₹30 Lac ,₹4529 per sqft 
33,3 BHK Apartment for Sale in Indirapuram Ghaziabad,₹90 Lac ,₹13000 per sqft 
34,3 BHK Apartment for Sale in Indirapuram Ghaziabad,₹85 Lac ,₹16667 per sqft 
35,3 BHK Apartment for Sale in Indirapuram Ghaziabad,₹77 Lac ,₹4800 per sqft 
36,"4 BHK Builder Floor for Sale in South City 2, Sector 49 Gurgaon",₹3.25 Cr ,₹18759 per sqft 
37,"4 BHK Apartment for Sale in Sector 128, Noida Express Way Noida",Call for Price,₹7055 per sqft 
38,"4 BHK Apartment for Sale in Sector 128, Noida Express Way Noida",Call for Price,₹18038 per sqft 
39,"3 BHK Apartment for Sale in Sector 73, Delhi Gurgaon Expressway Gurgaon",₹2.50 Cr ,₹8681 per sqft 
40,1 BHK Builder Floor for Sale in Rohini Sector 24 New Delhi,₹24 Lac ,₹3594 per sqft 
41,4 BHK Builder Floor for Sale in Chittaranjan Park New Delhi,₹6.50 Cr ,₹3972 per sqft 
42,"3 BHK Builder Floor for Sale in Uppal Southend, Sector 49, Sohna Road Gurgaon",₹1.60 Cr ,₹4043 per sqft 
43,4 BHK Builder Floor for Sale in Chittaranjan Park New Delhi,₹6.25 Cr ,₹5535 per sqft 
44,4 BHK Apartment for Sale in Sector 49 Gurgaon,₹1.75 Cr ,₹10684 per sqft 
45,3 BHK Apartment for Sale in Crossings Republik Ghaziabad,₹62 Lac ,₹4747 per sqft 
46,"3 BHK Apartment for Sale in Sector 37C, Delhi Gurgaon Expressway Gurgaon",₹73 Lac ,₹2924 per sqft 
47,2 BHK Apartment for Sale in Sector 22 D Greater Noida,₹46.5 Lac ,₹6532 per sqft 
